Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 16:14:40, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, dasolarpnl, c0:c5:20:24:87:18, -73, 2467MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, , 9e:53:22:a7:13:f8, -72, 2417MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2437MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Harsh Thakkar, 8e:22:02:e7:de:32, -60, 2462MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:d8, -52, 2437MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:75:3c, -76, 5600MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2412MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -76, 5500MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 60:d0:2c:9f:63:9c, -75, 5220MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -85, 2472MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5500MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:0d, -76, 5745MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -70, 2462MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:09, -70, 2412MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -76, 5220MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 60:d0:2c:5f:63:9c, -76, 5220MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:0c, -76, 5745MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:75:3c, -76, 5600MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:d8, -52, 2437MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Lab_211, 24:c9:a1:20:e7:48, -66, 2457MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:e8, -70, 2462MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DAIICT_STAFF, 18:4b:0d:23:75:3c, -77, 5600MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -74, 2417MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, Attendance, 18:4b:0d:63:75:3c, -77, 5600MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 16:14:40, LAB_2_3PM_P_2, AP_1723919793, 9c:d8:63:cd:d0:1c, -76, 2467MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:dc, -71, 5540MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:08, -70, 2412MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5500MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:08, -70, 2412MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:60:7c, -84, 5805MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:d8, -53, 2437MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -52, 2437MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, dasolarpnl, c0:c5:20:24:87:18, -73, 2467MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, , 9e:53:22:a7:13:f8, -72, 2417MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2437MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Harsh Thakkar, 8e:22:02:e7:de:32, -60, 2462MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:d8, -52, 2437MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:75:3c, -76, 5600MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2412MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -76, 5500MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 60:d0:2c:9f:63:9c, -75, 5220MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -85, 2472MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5500MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:0d, -76, 5745MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -70, 2462MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:09, -70, 2412MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -76, 5220MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 60:d0:2c:5f:63:9c, -76, 5220MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:0c, -76, 5745MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:75:3c, -76, 5600MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:d8, -52, 2437MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Lab_211, 24:c9:a1:20:e7:48, -66, 2457MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:e8, -70, 2462MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DAIICT_STAFF, 18:4b:0d:23:75:3c, -77, 5600MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -74, 2417MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, Attendance, 18:4b:0d:63:75:3c, -77, 5600MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 16:14:41, LAB_2_3PM_P_2, AP_1723919793, 9c:d8:63:cd:d0:1c, -76, 2467MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:dc, -71, 5540MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:08, -70, 2412MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5500MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:08, -70, 2412MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:60:7c, -84, 5805MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:d8, -53, 2437MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -52, 2437MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, dasolarpnl, c0:c5:20:24:87:18, -73, 2467MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, , 9e:53:22:a7:13:f8, -72, 2417MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2437MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Harsh Thakkar, 8e:22:02:e7:de:32, -60, 2462MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:d8, -52, 2437MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:75:3c, -76, 5600MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2412MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -76, 5500MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 60:d0:2c:9f:63:9c, -75, 5220MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -85, 2472MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5500MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:0d, -76, 5745MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -70, 2462MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:09, -70, 2412MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -76, 5220MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 60:d0:2c:5f:63:9c, -76, 5220MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:0c, -76, 5745MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:75:3c, -76, 5600MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:d8, -52, 2437MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Lab_211, 24:c9:a1:20:e7:48, -66, 2457MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:e8, -70, 2462MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DAIICT_STAFF, 18:4b:0d:23:75:3c, -77, 5600MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -74, 2417MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, Attendance, 18:4b:0d:63:75:3c, -77, 5600MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 16:14:42, LAB_2_3PM_P_2, AP_1723919793, 9c:d8:63:cd:d0:1c, -76, 2467MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:dc, -71, 5540MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:08, -70, 2412MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5500MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:08, -70, 2412MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:60:7c, -84, 5805MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:d8, -53, 2437MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -52, 2437MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, dasolarpnl, c0:c5:20:24:87:18, -73, 2467MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, , 9e:53:22:a7:13:f8, -72, 2417MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2437MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Harsh Thakkar, 8e:22:02:e7:de:32, -60, 2462MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:d8, -52, 2437MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:75:3c, -76, 5600MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2412MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -76, 5500MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 60:d0:2c:9f:63:9c, -75, 5220MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -85, 2472MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5500MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:0d, -76, 5745MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -70, 2462MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:09, -70, 2412MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -76, 5220MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 60:d0:2c:5f:63:9c, -76, 5220MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:0c, -76, 5745MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:75:3c, -76, 5600MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:d8, -52, 2437MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Lab_211, 24:c9:a1:20:e7:48, -66, 2457MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:e8, -70, 2462MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DAIICT_STAFF, 18:4b:0d:23:75:3c, -77, 5600MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -74, 2417MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, Attendance, 18:4b:0d:63:75:3c, -77, 5600MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 16:14:43, LAB_2_3PM_P_2, AP_1723919793, 9c:d8:63:cd:d0:1c, -76, 2467MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:dc, -71, 5540MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:08, -70, 2412MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5500MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:08, -70, 2412MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:60:7c, -84, 5805MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:d8, -53, 2437MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -52, 2437MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, dasolarpnl, c0:c5:20:24:87:18, -73, 2467MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, , 9e:53:22:a7:13:f8, -72, 2417MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2437MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Harsh Thakkar, 8e:22:02:e7:de:32, -60, 2462MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 58:b6:33:ba:1c:d8, -52, 2437MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:75:3c, -76, 5600MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:08, -69, 2412MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -76, 5500MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 60:d0:2c:9f:63:9c, -75, 5220MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, ROBOTIC_LAB, 78:98:e8:7a:2c:1d, -85, 2472MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:ec, -76, 5500MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:0d, -76, 5745MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -70, 2462MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 24:79:2a:34:ea:09, -70, 2412MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -76, 5220MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 60:d0:2c:5f:63:9c, -76, 5220MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:0c, -76, 5745MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:75:3c, -76, 5600MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:d8, -52, 2437MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Lab_211, 24:c9:a1:20:e7:48, -66, 2457MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:e8, -70, 2462MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DAIICT_STAFF, 18:4b:0d:23:75:3c, -77, 5600MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -74, 2417MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, Attendance, 18:4b:0d:63:75:3c, -77, 5600MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 16:14:44, LAB_2_3PM_P_2, AP_1723919793, 9c:d8:63:cd:d0:1c, -76, 2467MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_Student, 58:b6:33:fa:1c:dc, -71, 5540MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DA_Public, 24:79:2a:f4:ea:08, -70, 2412MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DA_Public, 1c:b9:c4:bd:84:ec, -76, 5500MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, Attendance, 24:79:2a:b4:ea:08, -70, 2412MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_Student, 18:4b:0d:e3:60:7c, -84, 5805MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, Attendance, 58:b6:33:7a:1c:d8, -53, 2437MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -52, 2437MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, Lab_211_5G, 24:c9:a1:20:e7:4c, -85, 5280MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, Donation, d6:3b:fa:31:d6:29, -76, 2472MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_Student, 60:d0:2c:df:63:9c, -76, 5220MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_STAFF, 24:79:2a:74:ea:0c, -76, 5745MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, DA_Public, 18:4b:0d:a3:60:7c, -85, 5805MHz
2024-11-14 16:14:45, LAB_2_3PM_P_2, Attendance, 1c:b9:c4:7d:84:ec, -76, 5500MHz
